Path,ComputerNameRule,ComputerDomainRule,Priority
/UQ/21-HaBS/119-HaBSFaculty,habs-fo%,%,50
/UQ/21-HaBS/119-HaBSFaculty,habs%,%,50
/UQ/21-HaBS/119-HaBSFaculty,poch%,%,50
/UQ/21-HaBS/119-HaBSFaculty/01-ExecDean,,,
/UQ/21-HaBS/119-HaBSFaculty/02-ExecutiveSupport,,,
/UQ/21-HaBS/119-HaBSFaculty/03-ResearchSupport,,,
/UQ/21-HaBS/119-HaBSFaculty/04-T&L,,,
/UQ/21-HaBS/119-HaBSFaculty/05-Advancement,,,
/UQ/21-HaBS/119-HaBSFaculty/06-Marketing,,,
/UQ/21-HaBS/119-HaBSFaculty/09-StrategicProjects,,,
/UQ/21-HaBS/119-HaBSFaculty/20-CONROD,habs-co%,%,50
/UQ/21-HaBS/119-HaBSFaculty/99-StrategicAdjustments,,,
/UQ/22-MaBS,mabs%,%,75
/UQ/22-MaBS,mbs%,%,75
/UQ/22-MaBS/510-MaBSFaculty,mabs-fo%,%,50
/UQ/22-MaBS/510-MaBSFaculty,mbs-fo%,%,50
/UQ/22-MaBS/510-MaBSFaculty/01-ExecDean,,,
/UQ/22-MaBS/510-MaBSFaculty/02-Strategic,,,
/UQ/22-MaBS/510-MaBSFaculty/03-Finance,,,
/UQ/22-MaBS/510-MaBSFaculty/04-HR,,,
/UQ/22-MaBS/510-MaBSFaculty/05-SAA,,,
/UQ/22-MaBS/510-MaBSFaculty/06-Advancement,,,
/UQ/22-MaBS/510-MaBSFaculty/07-Marketing,,,
/UQ/22-MaBS/510-MaBSFaculty/08-OHS,,,
/UQ/22-MaBS/510-MaBSFaculty/09-MajorProjects,,,
/UQ/22-MaBS/510-MaBSFaculty/10-Research,,,
/UQ/22-MaBS/510-MaBSFaculty/11-International,,,
/UQ/22-MaBS/510-MaBSFaculty/12-IT,,,
/UQ/22-MaBS/510-MaBSFaculty/99-EDAdjustment,,,
/UQ/23-Medicine,med%,%,75
/UQ/30-Arts/136-ExecDeanOffice,arts%,%,50
/UQ/30-Arts/137-Ipswich,uqi-lap%,%,50
/UQ/30-Arts/137-Ipswich,uqi-staff%,%,50
/UQ/30-Arts/138-AusLit,auslit%,%,50
/UQ/30-Arts/139-CCCS,cccs%,%,50
/UQ/30-Arts/139-CCCS,iash%,%,50
/UQ/30-Arts/140-HED,ched%,%,50
/UQ/30-Arts/141-EMSAH,emsah%,%,50
/UQ/30-Arts/141-EMSAH,hass-ca-%,%,50
/UQ/30-Arts/141-EMSAH,sca%,%,50
/UQ/30-Arts/142-HPRC,hprc%,%,50
/UQ/30-Arts/142-HPRC,hass-hp-%,%,50
/UQ/30-Arts/142-HPRC,hpi%,%,50
/UQ/30-Arts/143-LCCS,slccs%,%,50
/UQ/30-Arts/143-LCCS,hass-lc-%,%,50
/UQ/30-Arts/143-LCCS,slc%,%,75
/UQ/30-Arts/144-Music,music%,%,50
/UQ/30-Arts/145-IML,iml%,%,50
/UQ/30-Arts/145-IML,hass-iml-%,%,50
/UQ/30-Arts/146-Confucius,conf%,%,50
/UQ/30-Arts/146-Confucius,hass-ci-%,%,50
/UQ/30-Arts/147-HistEmot,emo%,%,50
/UQ/40-EAIT,eait%,%,50
/UQ/40-EAIT,itee%,%,50
/UQ/40-EAIT,%,%eait%,50
/UQ/40-EAIT/165-Dean,,,
/UQ/40-EAIT/167-AWMC,,,
/UQ/40-EAIT/170-ChemEng,,,
/UQ/40-EAIT/171-CivilEng,,,
/UQ/40-EAIT/172-MME,,,
/UQ/40-EAIT/173-MiningENG,,,
/UQ/40-EAIT/173-MiningENG/15-CRCMining,crc%,%,50
/UQ/40-EAIT/174-Materials,,,
/UQ/40-EAIT/177-ARCFunNan,,,
/UQ/40-EAIT/178-Architecture,,,
/UQ/40-EAIT/182-ITEE,,,
/UQ/40-EAIT/183-ARCComSys,,,
/UQ/40-EAIT/184-ARCRNEII,,,
/UQ/40-EAIT/185-CtrMedTech,,,
/UQ/50-SBS,sbs%,%,50
/UQ/50-SBS/208-SBSOffice,,,
/UQ/50-SBS/209-Education,hass-ed%,%,50
/UQ/50-SBS/209-Education,edu%,%,50
/UQ/50-SBS/210-SJC,hass-jc%,%,50
/UQ/50-SBS/211-POLSIS,hass-ps%,%,50
/UQ/50-SBS/211-POLSIS,polsis%,%,50
/UQ/50-SBS/212-Psychology,habs-py%,%,50
/UQ/50-SBS/212-Psychology,psy%,%,50
/UQ/50-SBS/213-SocialSci,hass-ss%,%,50
/UQ/50-SBS/213-SocialSci,socsci%,%,50
/UQ/50-SBS/214-SWAHS,habs-sw%,%,50
/UQ/51-HaSS/215-HaSSFaculty,hass%,%,75
/UQ/51-HaSS,cpf%,%,50
/UQ/51-HaSS/215-HaSSFaculty,hass-fo%,%,50
/UQ/51-HaSS/215-HaSSFaculty/01-ExecDean,,,
/UQ/51-HaSS/215-HaSSFaculty/02-FacultyOffice,,,
/UQ/51-HaSS/215-HaSSFaculty/03-Strategic,,,
/UQ/51-HaSS/215-HaSSFaculty/04-IT,,,
/UQ/51-HaSS/215-HaSSFaculty/05-Marketing,,,
/UQ/51-HaSS/215-HaSSFaculty/99-EDAdjustment,,,
/UQ/60-BEL,,,
/UQ/60-BEL/234-OED/02-FacOffBEL,bel%,%,75
/UQ/60-BEL/234-OED/04-BELCompLab,ccb%,%,50
/UQ/60-BEL/234-OED/04-BELCompLab,cha%,%,50
/UQ/60-BEL/234-OED/04-BELCompLab,gpn%,%,50
/UQ/60-BEL/235-Business,%,%business%,50
/UQ/60-BEL/235-Business,uqbs%,%,50
/UQ/60-BEL/236-Economics,soe%,%,50
/UQ/60-BEL/237-Law,law%,%,50
/UQ/60-BEL/237-Law,%,%law%,50
/UQ/60-BEL/238-Tourism,sot%,%,50
/UQ/60-BEL/238-Tourism,tourism%,%,50
/UQ/70-NRAVS/258-NRAVSOff,,,
/UQ/70-NRAVS/259-Nutrition,,,
/UQ/70-NRAVS/260-Vet,,,
/UQ/70-NRAVS/261-AnimalStudies,,,
/UQ/70-NRAVS/262-GattonCampus,,,
/UQ/70-NRAVS/263-LCAFS,,,
/UQ/70-NRAVS/264-NRSM,,,
/UQ/70-NRAVS/265-UQGatFarm,,,
/UQ/82-DVC/285-DVCAcad,,,
/UQ/82-DVC/286-TEDI,tedi%,%,50
/UQ/82-DVC/287-OfficeUQEdu,,,
/UQ/82-DVC/288-OfficeProsStuSchl,,,
/UQ/82-DVC/289-CEIT,ceit%,%,50
/UQ/82-DVC/290-CIPL,cipl%,%,50
/UQ/82-DVC/292-ITALI,itali%,%,50
/UQ/82-DVC/292-ITALI/01-TeachingExcellence,,,
/UQ/82-DVC/292-ITALI/02-InnovationAnalytics,,,
/UQ/82-DVC/292-ITALI/03-UQx,,,
/UQ/82-DVC/324-AcadServDiv,,,
/UQ/82-DVC/325-HealthServDirectorate,uhs%,%,50
/UQ/82-DVC/326-AcadAdminDirectorate,,,
/UQ/82-DVC/327-StudAdminDirectorate,ca-sasd%,%,50
/UQ/82-DVC/327-StudAdminDirectorate/03-StudentCentre,ca-stc%,%,50
/UQ/82-DVC/327-StudAdminDirectorate/03-StudentCentre,sss%,%,50
/UQ/82-DVC/327-StudAdminDirectorate/08-Exams,ca-exam%,%,50
/UQ/82-DVC/327-StudAdminDirectorate/10-SINet,ca-sint%,%,50
/UQ/82-DVC/328-StudentServDirectorate/,ca-ss%,%,50
/UQ/82-DVC/328-StudentServDirectorate,ca-chap%,%,50
/UQ/82-DVC/328-StudentServDirectorate/09-Acommodation,ca-acom%,%,50
/UQ/82-DVC/364-StudentAffairsDiv,ca-oue%,%,50
/UQ/82-DVC/364-StudentAffairsDiv,oue%,%,50
/UQ/82-DVC/365-AcadServDiv,,,
/UQ/82-DVC/379-GraduateSchool,gradsc%,%,50
/UQ/83-DVCI,,,
/UQ/83-DVCI/297-OfficeDVCI,dvci%,%,50
/UQ/83-DVCI/298-UQInternational,ca-ied%,%,50
/UQ/83-DVCI/298-UQInternational,uqin%,%,50
/UQ/83-DVCI/306-ICTE,icte%,%,50
/UQ/83-DVCI/307-AusAID,,,
/UQ/83-DVCI/308-InternationalDev,uqid%,%,50
/UQ/84-EDO,,,
/UQ/84-EDO/299-PFDiv,pf%,%,50
/UQ/84-EDO/300-PFAdmin,,,
/UQ/84-EDO/301-PFConstruction,,,
/UQ/84-EDO/302-PFPlanning,,,
/UQ/84-EDO/303-PFEngineering,,,
/UQ/84-EDO/304-PFOperations,,,
/UQ/84-EDO/305-PFServices,,,
/UQ/84-EDO/310-PFSustainability,,,
/UQ/84-EDO/316-OfficeEDO,ca-edo%,%,50
/UQ/84-EDO/319-FBS,fbs%,%,50
/UQ/84-EDO/319-FBS,ca-fbs-%,%,50
/UQ/84-EDO/320-PFTraffic,ca-traf%,%,50
/UQ/84-EDO/321-HR,ca-hr%,%,25
/UQ/84-EDO/321-HR,ca-ps%,%,50
/UQ/84-EDO/321-HR,hr%,%,50
/UQ/84-EDO/322-OHS,ca-ohs%,%,50
/UQ/84-EDO/322-OHS,ps-ohs%,%,50
/UQ/84-EDO/322-OHS,ps-wim%,%,50
/UQ/84-EDO/322-OHS,hsw%,%,50
/UQ/84-EDO/323-CorporateOperations,ca%,%,75
/UQ/84-EDO/323-CorporateOperations,ca-co%,%,25
/UQ/84-EDO/323-CorporateOperations,iao%,%,50
/UQ/84-EDO/323-CorporateOperations,co%,%,50
/UQ/84-EDO/329-HROther,,,
/UQ/84-EDO/330-HRWIM,,,
/UQ/84-EDO/331-LegalOffice,ca-legl%,%,50
/UQ/84-EDO/331-LegalOffice,legl%,%,50
/UQ/84-EDO/349-PlanningOffice,,,
/UQ/84-EDO/350-ITS,its%,%,75
/UQ/84-EDO/351-ITSArchitecture,its-arc%,%,50
/UQ/84-EDO/352-ITSOperations,its-ops%,%,50
/UQ/84-EDO/353-ITSStrategyPlanning,its-str%,%,50
/UQ/84-EDO/354-ITSAusCert,301%,%,50
/UQ/84-EDO/355-ITSInternet,its-int%,%,50
/UQ/84-EDO/356-ITSCorporateServices,its-cse%,%,50
/UQ/84-EDO/357-ITSResearchTeachingSup,its-rts%,%,50
/UQ/84-EDO/358-ITSPhoenix,its-ph%,%,50
/UQ/84-EDO/359-ITSQRNO,its-qrno%,%,50
/UQ/84-EDO/360-ITSNetworks,its-av%,%,50
/UQ/84-EDO/360-ITSNetworks,its-net%,%,50
/UQ/84-EDO/360-ITSNetworks,its-un%,%,50
/UQ/84-EDO/361-ITSEnterpriseSupport,its-eas%,%,50
/UQ/84-EDO/362-ITSAcademicServices,its-acs%,%,50
/UQ/84-EDO/362-ITSAcademicServices,its-dss%,%,50
/UQ/84-EDO/362-ITSAcademicServices,cts%,%,50
/UQ/84-EDO/363-ITSCorporateSupport,its-csu%,%,50
/UQ/84-EDO/470-Printery,,,
/UQ/85-UQPress/377-UQPress,uqpod%,%,50
/UQ/85-UQPress/377-UQPress,uqp-%,%,50
/UQ/86-DVCER,,,
/UQ/86-DVCER/002-DVCER-Office,,,
/UQ/86-DVCER/004-ProtocolCeremonies,ca-prot%,%,50
/UQ/86-DVCER/007-Advancement,ca-adv%,%,50
/UQ/86-DVCER/007-Advancement,ca-adva%,%,25
/UQ/86-DVCER/007-Advancement,adv%,%,50
/UQ/86-DVCER/010-OMC,ca-omc%,%,25
/UQ/86-DVCER/010-OMC,omc%,%,50
/UQ/86-DVCER/011-CustomsHouse,ch%,%,75
/UQ/86-DVCER/011-CustomsHouse,custh%,%,50
/UQ/86-DVCER/041-PVCAdv,,,
/UQ/86-DVCER/501-DonationsBequests,,,
/UQ/89-DVC,,,
/UQ/89-DVC/378-DVCROffice,,,
/UQ/89-DVC/380-ResearchInnovation,rid%,%,50
/UQ/89-DVC/381-CIRM,cirm%,%,50
/UQ/89-DVC/382-UQBR,uqbr%,%,50
/UQ/89-DVC/382-UQBR/22-HMRC,mabs-mr%,%,50
/UQ/89-DVC/382-UQBR/22-HMRC,mbs-mr%,%,50
/UQ/89-DVC/383-PVCRI,,,
/UQ/89-DVC/385-CAI,cai%,%,50
/UQ/89-DVC/385-CAI/02-DirectorsOperations,,,
/UQ/89-DVC/385-CAI/03-Operations,,,
/UQ/89-DVC/385-CAI/06-InformationTechnology,,,
/UQ/89-DVC/387-TrustFoundationRelations,,,
/UQ/89-DVC/380-ResearchInnovation,rdsi%,%,50
/UQ/89-DVC/393-UQEnergy,,,
/UQ/89-DVC/396-RCC,rcc-%,%,50
